# https://refractiveindex.info/?shelf=main&book=H2O&page=Hale
# ﻿Wavelength micron, n, k
11.11 1.1065 0.28
11.36 1.1478 0.341
11.63 1.202 0.379
11.9 1.2582 0.409
12.2 1.3231 0.422
12.5 1.3857 0.422
12.82 1.4448 0.403
12.99 1.4717 0.389
13.16 1.4962 0.374
13.33 1.5165 0.354
13.51 1.5333 0.335
13.7 1.549 0.315
13.89 1.5628 0.294
14.08 1.5732 0.271
14.29 1.5803 0.246
14.71 1.5792 0.198
15.15 1.5667 0.164
15.38 1.5587 0.152
15.63 1.5508 0.142
16.13 1.5381 0.128
16.39 1.533 0.125
16.67 1.5322 0.123
16.95 1.5334 0.116
17.24 1.5329 0.107
18.18 1.517 0.079
18.87 1.501 0.072
19.23 1.4968 0.076
19.61 1.4993 0.075
20 1.5015 0.067
20.41 1.4986 0.055
20.83 1.4905 0.045
22.22 1.4607 0.029
22.6 1.4512 0.0275
23.05 1.4422 0.027
23.6 1.4316 0.0273
24.6 1.4138 0.0289
25 1.4068 0.03
26 1.3895 0.034
28.57 1.3489 0.053
31 1.3104 0.0755
33.33 1.2642 0.106
34.48 1.2366 0.135
35.64 1.2166 0.1761
37 1.2023 0.2229
38.24 1.1964 0.2746
39.6 1.1997 0.328
41.14 1.2086 0.3906
42.76 1.2217 0.4642
43.58 1.2417 0.5247
44.58 1.2818 0.5731
45.5 1.3278 0.6362
46.15 1.3866 0.6839
46.71 1.4649 0.7091
47.36 1.5532 0.679
48 1.6038 0.625
48.78 1.6188 0.5654
50.03 1.6296 0.5433
51.28 1.6571 0.5292
52.75 1.6981 0.507
53.5 1.7206 0.4883
54.24 1.7486 0.4707
55 1.7674 0.4203
55.74 1.7648 0.3771
56.4 1.7501 0.3376
57 1.7233 0.3056
57.46 1.6849 0.2835
58.4 1.624 0.317
59.29 1.596 0.3517
60 1.5851 0.3902
61 1.5992 0.4509
61.25 1.614 0.4671
62.5 1.6662 0.4779
63.78 1.7066 0.489
64.67 1.7371 0.4899
65.58 1.7686 0.4873
66.55 1.8034 0.4766
67.6 1.833 0.4508
69 1.8568 0.4193
70.53 1.8741 0.388
73 1.8911 0.3433
75 1.8992 0.3118
76.29 1.9043 0.2935
80 1.9033 0.235
82.97 1.8874 0.1981
85 1.875 0.1865
86.8 1.867 0.1771
90.8 1.8536 0.162
95.17 1.8425 0.149
100 1.8323 0.139
120 1.8191 0.12
150 1.8227 0.0962
167 1.8296 0.083
